entropy,skewness,interquartile_range,kurtosis,percentile_75,range,maximum,median,percentile_90,mean_absolute_deviation,session,timestamp,device_label
2.3614417535681573,10.419729428282725,3.868323986174972e-08,115.0595461934559,4.257097429584786e-08,0.00028661856409959824,0.00028661926038360417,8.435088076023021e-09,3.084848509143546e-07,4.773251529723146e-06,54,2024-12-02T14:23:52.925855,empty
2.3569326961106674,10.190501828792307,4.764322674900695e-08,109.26515878715293,5.131355247320777e-08,0.00027718600902861614,0.00027718669102371314,7.363079722155148e-09,2.6657254777330054e-07,4.86584028662715e-06,55,2024-12-02T14:23:55.338724,empty
2.355644866255708,10.16650280078705,4.646159072176513e-08,108.61603831015206,5.0157106136464146e-08,0.0002781572174100366,0.00027815796135762514,7.708842779186239e-09,2.7621710577145506e-07,4.872559043902776e-06,56,2024-12-02T14:23:57.695559,empty
2.3699951000929103,10.227136599746583,5.1665101212637836e-08,110.31861060777676,5.6291477836022215e-08,0.000279674707178825,0.0002796754959994704,1.1682992622843663e-08,2.6893251960523325e-07,4.849381594532425e-06,57,2024-12-02T14:23:59.870958,empty
2.3577149859670508,10.371059314307105,4.250268865948607e-08,113.88188004574309,4.6710915655771e-08,0.00028727671441457567,0.00028727738514423384,8.616005862327054e-09,2.956259646833959e-07,4.7931638463094995e-06,58,2024-12-02T14:24:02.890851,empty
2.3803958239635756,10.511304944896187,4.6578473803570427e-08,117.16233121770397,5.0275787657295795e-08,0.0002811010604146583,0.00028110178286890644,7.951598162566214e-09,2.6801874522787943e-07,4.6887387393755275e-06,59,2024-12-02T14:24:05.307621,empty
2.3649497484881006,10.342857929312084,4.2143716379759935e-08,112.84612624027875,4.651754318535797e-08,0.0002822839495025362,0.00028228479040624024,8.801517977826617e-09,3.0013243881521403e-07,4.740417408800361e-06,60,2024-12-02T14:24:07.466971,empty
2.3534197618795423,10.1992466507381,4.595107426288538e-08,109.30840605224502,4.971915692924725e-08,0.0002806021898706811,0.0002806028332604907,8.416416489234732e-09,2.711040595424452e-07,4.824943879949389e-06,61,2024-12-02T14:24:09.645928,empty
2.3769352313617036,10.744907610612819,4.325347227469198e-08,123.51062569963626,4.752535632088656e-08,0.0002914168023052138,0.0002914173274834865,8.907145501262494e-09,3.2671249873787205e-07,4.668991331335351e-06,62,2024-12-02T14:24:11.908275,empty
2.3778501408099793,10.747489152196415,3.99685094148885e-08,123.69831457238591,4.389470900709656e-08,0.0002901897109104204,0.00029019036725848205,8.476207497616626e-09,2.78037414722655e-07,4.678400765616711e-06,63,2024-12-02T14:24:14.060085,empty
2.3516853082737277,10.170800721153025,4.342798663345747e-08,108.76013909595771,4.666068916028093e-08,0.0002813544204368887,0.00028135508940843536,7.627137891461837e-09,2.954064213719559e-07,4.859600216326601e-06,64,2024-12-02T14:24:16.142165,empty
2.381528631833539,10.617266690916901,4.5746375051774844e-08,120.00740752699753,4.9897764205810655e-08,0.00028569233306418527,0.000285693165555838,8.95135570401152e-09,2.947589751338825e-07,4.650497524862741e-06,65,2024-12-02T14:24:18.308027,empty
2.3853445560077198,10.708457408059175,4.61957552850696e-08,122.51373570387162,5.006771530112779e-08,0.0002897074839307188,0.0002897081372999238,9.182697125949893e-09,3.0254134516570047e-07,4.614093252783731e-06,66,2024-12-02T14:24:20.276307,empty
2.357655562962563,10.3500513933567,4.196711996190039e-08,113.1906504970244,4.6192080812542626e-08,0.00028462229025476185,0.0002846229602153081,9.175323251519705e-09,3.396118599126272e-07,4.800412453784872e-06,67,2024-12-02T14:24:22.230204,empty
2.349996957153433,10.201097111930979,4.311250117267272e-08,109.37233014685289,4.69534775369011e-08,0.00028070840844418495,0.000280709119379564,7.722039055206235e-09,2.744743495004241e-07,4.828152637735744e-06,68,2024-12-02T14:24:24.381672,empty
2.357203833832407,10.147799647420852,4.513769048914077e-08,108.02483748671273,4.9224458422251594e-08,0.00027645287017945465,0.00027645362909146367,7.73006535875011e-09,2.6819881070390784e-07,4.873316331424859e-06,69,2024-12-02T14:24:26.737750,empty
2.3841612788180315,10.642811070688149,4.509555343575676e-08,120.32990645296874,4.958959418209276e-08,0.00028155380697414477,0.0002815546560212697,8.885367588182078e-09,2.956121416032376e-07,4.60982236561887e-06,70,2024-12-02T14:24:29.052755,empty
2.3690265622901654,10.566329257975813,4.311700798854766e-08,118.73742379391567,4.730273803464489e-08,0.0002869738611534414,0.00028697459590637167,8.835197111206497e-09,3.196734770814405e-07,4.718031289291674e-06,71,2024-12-02T14:24:31.052731,empty
2.4648152691177483,10.57836548307002,2.758245922931744e-08,119.23893162614884,3.191843581743974e-08,0.0001638259282717604,0.00016382742282531056,8.0201047695088e-09,1.9071043735789221e-07,2.7288624651644666e-06,72,2024-12-02T14:24:33.129075,empty
2.3759574744958636,10.627409445870395,4.276061843741214e-08,120.35776489667633,4.6215777704722776e-08,0.00028334106342408575,0.00028334190681500904,7.076947617289446e-09,3.02359093566546e-07,4.713794585377688e-06,73,2024-12-02T14:24:35.473762,empty
2.4201377495166545,11.139919075393648,2.796175586937255e-08,138.5986720697968,3.139997986506083e-08,0.00021045176631035746,0.00021045259659063534,7.135766948166234e-09,1.7807274917046318e-07,3.0882899204396647e-06,74,2024-12-02T14:24:37.728790,empty
2.3697080613444035,10.700442943564173,4.230032424413823e-08,122.42644944765969,4.6283851357296055e-08,0.0002926196405812338,0.00029262048521538534,9.152907321587119e-09,2.926319587257146e-07,4.686034903103696e-06,75,2024-12-02T14:24:39.831165,empty
2.3527311865462504,10.152000830623924,4.556834953858618e-08,108.31105765390528,4.902177070776595e-08,0.000279311903242359,0.00027931269215176454,7.194626256529465e-09,2.629704160384951e-07,4.866116186879226e-06,76,2024-12-02T14:24:42.070496,empty
2.3524966334187427,10.168750478553696,4.632703247022873e-08,108.75921273549942,4.938126543479212e-08,0.00028237658734195993,0.00028237738118892303,6.880592655902914e-09,2.717065076325317e-07,4.884130617566721e-06,77,2024-12-02T14:24:44.227278,empty
2.3598561306745958,10.282011889420877,4.262637908233449e-08,111.43719354442021,4.7191640305023964e-08,0.00028319437983572083,0.00028319522643709924,1.0058017768635706e-08,2.818998545561727e-07,4.771750384992204e-06,78,2024-12-02T14:24:46.335860,empty
2.377750050573569,10.72259011980596,4.50543355299787e-08,123.14951751212402,4.8952601320397164e-08,0.00029065116635374947,0.00029065209690435696,8.065442920482938e-09,2.912772751308351e-07,4.687128051121905e-06,79,2024-12-02T14:24:49.621229,empty
2.3801927402083196,10.53700573425927,4.5237707110535186e-08,117.78867663604517,4.9379857568075504e-08,0.00028107326632008324,0.0002810738844650929,8.701169539741868e-09,2.926844905276877e-07,4.669764959904837e-06,80,2024-12-02T14:24:51.461283,empty
2.376152429568907,10.809075302249251,4.3260065265319805e-08,125.13276165516353,4.72521161612991e-08,0.00029050623607024305,0.0002905069801291184,8.952989202482084e-09,2.942145763230362e-07,4.642477783574996e-06,81,2024-12-02T14:24:53.471832,empty
2.452052648351883,10.928468711274471,2.445389600999384e-08,128.81038896240904,2.8811048093359274e-08,0.00017644414295509627,0.00017644538771404976,7.929992226490517e-09,1.7878415998509467e-07,2.769355960055006e-06,82,2024-12-02T14:24:55.867808,empty
2.373201067884935,10.782777415420862,4.3477587112754364e-08,124.62341873271332,4.77100839261576e-08,0.0002937799329209772,0.0002937805736243479,8.685719194526568e-09,3.046160150585713e-07,4.663045020326215e-06,83,2024-12-02T14:24:57.638104,empty
2.3507328759742654,10.16725342569261,4.330063422428191e-08,108.69852386412123,4.686760044820171e-08,0.0002820104210228702,0.00028201115968891485,7.26766660198435e-09,2.626181186225388e-07,4.861308097947533e-06,84,2024-12-02T14:24:59.751064,empty
2.3843705465550316,10.640634865158525,4.465566090797541e-08,120.54480251336048,4.8469195116617856e-08,0.00028504114718445417,0.0002850420220091275,8.276381963311139e-09,3.0807401664026155e-07,4.632156207688523e-06,85,2024-12-02T14:25:02.107261,empty
2.3490273302892906,10.25878227922616,4.030287555821383e-08,110.98443263206643,4.3839571429684276e-08,0.0002859880536922761,0.00028598875196495595,7.430637893311332e-09,3.110624022408631e-07,4.853666813335259e-06,86,2024-12-02T14:25:04.073171,empty
2.382561908840225,10.664501067972969,4.774991147295513e-08,121.03517466668504,5.19251203557458e-08,0.00028462844570744197,0.0002846290882254219,8.544618379945452e-09,3.047220919658094e-07,4.611056621564927e-06,87,2024-12-02T14:25:06.285818,empty
